"Owners","LicenseNumber","BusinessName","Status","IssueDate","RenewDate","ExpireDate","HasTelemedicine","PhysicalCity","PhysicalCountry","PhysicalLine1","PhysicalLine2","PhysicalState","PhysicalZip","PhysicalZipPlus","MailingCity","MailingCountry","MailingLine1","MailingLine2","MailingState","MailingZip","MailingZipPlus"
"FRANK  MESDAG",1134,"JUNEAU FOOT AND ANKLE CLINIC","Active",,12/23/2024,12/31/2026,"No","Juneau","UNITED STATES","8800 Glacier Hwy","Suite 218","AK","99801",,"JUNEAU","UNITED STATES","PO BOX 32497",,"AK","99803",
"BARROW UTILITIES AND ELECTRIC COOPERATIVE INC.",1198,"BARROW UTILITIES AND ELECTRIC COOPERATIVE INC.","Active",1/14/1991,12/5/2025,12/31/2027,"No","UTQIAGVIK","UNITED STATES","1295 AGVIK STREET",,"AK","99723","0000","UTQIAGVIK","UNITED STATES","PO BOX 449",,"AK","99723","0449"
"RUSSIAN MISSION NATIVE CORPORATION",1352,"RUSSIAN MISSION NATIVE CORPORATION","Active",1/11/1990,10/8/2025,12/31/2027,"No","Russian Mission","UNITED STATES","48 Mid Street South",,"AK","99657",,"RUSSIAN MISSION","UNITED STATES","PO BOX 48",,"AK","99657","0048"
"ANGELUS MEMORIAL PARK CEMETERY, INC.",1399,"ANGELUS MEMORIAL PARK","Active",1/24/1991,12/10/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","440 EAST KLATT RD STE A",,"AK","99515","3448","ANCHORAGE","UNITED STATES","440 EAST KLATT RD STE A",,"AK","99515","3448"
"FEDERAL EXPRESS CORPORATION",1473,"FEDERAL EXPRESS CORPORATION","Active",12/24/1990,10/7/2025,12/31/2026,"No","JUNEAU","UNITED STATES","FEDERAL EXPRESS CORPORATION","9203 BONNETTE WAY","DE","99801","9392","Wilmington","UNITED STATES","FEDEX EXPRESS # A2320","251 Little Falls Drive","DE","19808",
"HEIDI  SHELDON",1474,"HEIDIS BIBLE AND GIFT SHOP","Active",12/19/1990,10/10/2024,12/31/2026,"No","NOORVIK","UNITED STATES","110 FIREWEED DRIVE",,"AK","99763",,"NOORVIK","UNITED STATES","BOX 110",,"AK","99763",
"H M S INC",1614,"H M S INC","Active",1/4/1991,10/15/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","4103 MINNESOTA DRIVE",,"AK","99503",,"ANCHORAGE","UNITED STATES","4103 MINNESOTA DRIVE",,"AK","99503",
"ALASKA ACCOUNTING SERVICES, INC.",1640,"ALASKA ACCOUNTING SERVICES, INC","Active",1/29/1991,10/4/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","3705 ARCTIC BLVD 485",,"AK","99503","5774","ANCHORAGE","UNITED STATES","3705 ARCTIC BLVD 485",,"AK","99503","5774"
"SID BOUSCHOR",1744,"BOUSCHOR ENTERPRISES","Active",2/5/1991,12/20/2025,12/31/2026,"No","ANCHORAGE","UNITED STATES","5201 RABBIT CREEK ROAD",,"AK","99516",,"ANCHORAGE","UNITED STATES","5201 RABBIT CREEK ROAD",,"AK","99516",
"BOYER TOWING, INC.",1777,"BOYER TOWING, INC.","Active",1/9/1991,12/9/2024,12/31/2026,"No","KETCHIKAN","UNITED STATES","5061 SHORELINE DR",,"AK","99901",,"KETCHIKAN","UNITED STATES","PO BOX 8000",,"AK","99901",
"BRADY'S FLOOR COVERING, INC.",1820,"BRADY'S FLOOR COVERING, INC.","Active",1/3/1991,10/10/2024,12/31/2026,"No","Anchorage","UNITED STATES","4047 San Ernesto Apt 1",,"AK","99508","2806","ANCHORAGE","UNITED STATES","4047 SAN ERNESTO AVE APT 1",,"AK","99508","2806"
"KENNETH  EGGERS",1840,"KENNETH P EGGERS","Active",,12/18/2025,12/31/2026,"No","Anchorage","UNITED STATES","8551 Pioneer Drive",,"AK","99504",,"ANCHORAGE","UNITED STATES","PO BOX 100237",,"AK","99510","0237"
"BRECHAN ENTERPRISES INC",1858,"BRECHAN ENTERPRISES INC","Active",,10/29/2024,12/31/2026,"No","KODIAK","UNITED STATES","2645 Mill Bay Rd","Bakersfield, CA 93314","CA","99615",,"KODIAK","UNITED STATES","P.O. BOX 1275",,"AK","99615",
"BRICE INC",1897,"BRICE INC","Active",,10/13/2025,12/31/2027,"No","FAIRBANKS","UNITED STATES","590 UNIVERSITY AVE STE 200","SUITE 200","AK","99709",,"FAIRBANKS","UNITED STATES","PO BOX 70668",,"AK","99707",
"O'NEILL PROPERTIES, INC.",2006,"O'NEILL PROPERTIES, INC.","Active",2/1/1990,3/3/2026,12/31/2026,"No","PALMER","UNITED STATES","13980 E RIVER BEND CIRCLE",,"AK","99645",,"ANCHORAGE","UNITED STATES","PO BOX 241605",,"AK","99524","1605"
"STEPHEN  DENTON",2013,"DENTON CIVIL AND MINERAL","Active",,11/19/2024,12/31/2026,"No","Wasilla","UNITED STATES","3861 S Birch Cove Drive",,"AK","99687","0438","WASILLA","UNITED STATES","P.O. Box 870438",,"AK","99654","0438"
"INTRA SEA INC",2072,"ALASKA SALMON BAKE","Active",,10/29/2024,12/31/2026,"No","FAIRBANKS","UNITED STATES","3175 COLLEGE RD SUITE 1",,"AK","99709",,"FAIRBANKS","UNITED STATES","3175 COLLEGE RD SUITE 1",,"AK","99709",
"BURNS & MCDONNELL ENGINEERING COMPANY, INC.",2076,"BURNS & MCDONNELL ENGINEERING COMPANY, INC.","Active",,11/3/2025,12/31/2027,"No","KANSAS CITY","UNITED STATES","9400 WARD PARKWAY",,"MO","64114",,"KANSAS CITY","UNITED STATES","9400 WARD PARKWAY","ATTN: LEGAL DEPT","MO","64114",
"TIKCHIK NARROWS LODGE INC",2120,"TIKCHIK NARROWS LODGE INC","Active",,10/10/2025,12/31/2027,"No","Anchorage","UNITED STATES","205 E Benson Blvd",,"AK","99503",,"ANCHORAGE","UNITED STATES","P.O. BOX 220507",,"AK","99522",
"D BUNKER; T BUNKER;",2133,"BUNKER AND BUNKER","Active",,10/11/2024,12/31/2026,"No","WILLOW","UNITED STATES","14949   N. 4-MILE RD.  ",,"AK","99688",,"WILLOW","UNITED STATES","BOX 35",,"AK","99688",
"FOUNTAINHEAD DEVELOPMENT INC",2151,"FOUNTAINHEAD DEVELOPMENT INC","Active",,10/16/2024,12/31/2026,"No","Fairbanks","UNITED STATES","1501 Queens Way",,"AK","99701",,"FAIRBANKS","UNITED STATES","1501 QUEENS WAY",,"AK","99701",
"THE CHENEGA CORPORATION",2181,"THE CHENEGA CORPORATION","Active",4/24/1991,12/17/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","3000 C STREET","SUITE 301","AK","99503","3975","ANCHORAGE","UNITED STATES","3000 C STREET","SUITE 301","AK","99503",
"CALAIS COMPANY, INC.",2306,"CALAIS COMPANY, INC.","Active",,10/9/2025,12/31/2027,"No","Anchorage","UNITED STATES","3111 Denali Street, Suite 201",,"AK","99503",,"ANCHORAGE","UNITED STATES","3111 DENALI ST STE 201",,"AK","99503",
"CAPITOL MOTOR SUPPLY, INC",2377,"CAPITOL MOTOR SUPPLY","Active",,10/8/2024,12/31/2026,"No","JUNEAU","UNITED STATES","9110 MENDENHALL MALL RD",,"AK","99801","7112","JUNEAU","UNITED STATES","9110 MENDENHALL MALL RD",,"AK","99801","7112"
"GUY BOWEN",2388,"WATER SVC","Active",,12/20/2024,12/31/2026,"No","BARROW","UNITED STATES","936 Stevenson St  ",,"AK","99723","0770","BARROW","UNITED STATES","PO BOX 770",,"AK","99723","0770"
"CENTRAL PLUMBING & HEATING, INC.",2537,"CENTRAL PLUMBING & HEATING, INC","Active",12/12/1990,12/31/2025,12/31/2027,"No","Anchorage","UNITED STATES","212 East International Ai","9075622511","AK","99518","1212","ANCHORAGE","UNITED STATES","212 E INTL AIRPORT RD",,"AK","99518","1212"
"COFFMAN ENGINEERS, INC.",2576,"COFFMAN ENGINEERS, INC","Active",,12/2/2025,12/31/2027,"No","SEATTLE","UNITED STATES","1101 2ND AVENUE","SUITE 400","WA","98101","1620","SEATTLE","UNITED STATES","1101 2ND AVENUE","SUITE 400","WA","98101","1620"
"AKSALA ELECTRONICS, INC.",2659,"AKSALA ELECTRONICS, INC","Active",,10/14/2024,12/31/2026,"No","Kodiak","UNITED STATES","1523 Ismailove Street",,"AK","99615",,"KODIAK","UNITED STATES","1417B MILL BAY ROAD",,"AK","99615",
"CHUGACH ELECTRIC ASSOCIATION, INC.",2673,"CHUGACH ELECTRIC ASSOCIATION, INC.","Active",12/19/1990,1/20/2025,12/31/2026,"No","Anchorage","UNITED STATES","5601 ELECTRON DR","BLDG A","AK","99518","1074","ANCHORAGE","UNITED STATES","PO BOX 196300",,"AK","99519","6300"
"ABC MOTOR HOME RENTALS, INC.",2686,"ABC MOTOR HOME RENTALS, INC.","Active",12/7/1990,2/14/2026,12/31/2027,"No","Anchorage","UNITED STATES","8103 OLD SEWARD HWY","9072667102","AK","99518",,"ANCHORAGE","UNITED STATES","8103 OLD SEWARD HWY",,"AK","99518",
"CITY MARKET, INC.",2702,"CITY MARKET, INC.","Active",12/12/1990,12/16/2024,12/31/2026,"No","WRANGELL","UNITED STATES","423 FRONT ST",,"AK","99929",,"WRANGELL","UNITED STATES","PO BOX 140",,"AK","99929",
"CLAPPER ENTERPRISES, INC.",2711,"CLAPPER ENTERPRISES, INC.","Active",1/7/1991,1/7/2025,12/31/2026,"No","ANCHORAGE","UNITED STATES","3717 MINNESOTA DR",,"AK","99503",,"ANCHORAGE","UNITED STATES","3717 MINNESOTA DR",,"AK","99503",
"DANIEL  SHILLING",2821,"DACT ENTERPRISES","Active",,12/1/2025,12/31/2027,"No","Wasilla","UNITED STATES","1000 S Easy street",,"AK","99654",,"Wasilla","UNITED STATES","1000 S Easy street",,"AK","99654",
"COLLEGE UTILITIES CORP.",2870,"COLLEGE UTILITIES CORP.","Active",12/27/1990,1/9/2026,12/31/2027,"No","Fairbanks","UNITED STATES","721, Fireweed Drive","9073888095","AK","99709",,"FAIRBANKS","UNITED STATES","PO BOX 80370",,"AK","99708","0370"
"ROCKY'S MARINE, INC.",2871,"ROCKY'S MARINE INC","Active",,11/11/2024,12/31/2026,"No","PETERSBURG","UNITED STATES","245 MITKOF HWY",,"AK","99833","0690","PETERSBURG","UNITED STATES","PO BOX 690",,"AK","99833","0690"
"WALSH, KELLIHER & SHARP, APC",2883,"WALSH, KELLIHER & SHARP, APC","Active",,12/30/2025,12/31/2027,"No","FAIRBANKS","UNITED STATES","1292 SADLER WAY STE 220",,"AK","99701",,"FAIRBANKS","UNITED STATES","1292 SADLER WAY STE 220",,"AK","99701",
"COLOR ART PRINTING CO., INC.",2896,"COLOR ART PRINTING CO., INC","Active",,10/6/2025,12/31/2027,"No","Anchorage","UNITED STATES","430 W 7th Ave STE 10","9072772409","AK","99501",,"ANCHORAGE","UNITED STATES","430 W 7TH AVE STE 10",,"AK","99501","3550"
"COPPER VALLEY ELECTRIC ASSOCIATION, INC.",3064,"COPPER VALLEY ELECTRIC ASSOCIATION, INC.","Active",,12/2/2025,12/31/2027,"No","Glennallen","UNITED STATES","Mile 187 Glenn Highway",,"AK","99588",,"GLENNALLEN","UNITED STATES","PO BOX 45",,"AK","99588",
"KUB, INC.",3125,"SOURDOUGH BAR AND LIQUOR STORE","Active",,11/22/2024,12/31/2026,"No","Ketchikan","UNITED STATES","301 Front St",,"AK","99901",,"KETCHIKAN","UNITED STATES","301 FRONT",,"AK","99901",
"CRAWFORD AND COMPANY",3188,"CRAWFORD AND COMPANY","Active",12/18/1990,11/7/2025,12/31/2027,"No","PEACHTREE CORNERS","UNITED STATES","5335 TRIANGLE PKWY NW",,"GA","30092",,"NORCROSS","UNITED STATES","PO BOX 921399",,"GA","30010",
"JAMES  PRESTON",3332,"KACHEMAK SERVICES","Active",,11/24/2025,12/31/2027,"No","HOMER","UNITED STATES","3895 BARTLETT STREET",,"AK","99603",,"HOMER","UNITED STATES","PO BOX 394",,"AK","99603","0394"
"FABRY CONSTRUCTION COMPANY, INC.",3392,"FABRY CONSTRUCTION","Active",11/22/1985,11/25/2024,12/31/2026,"No","KETCHIKAN","UNITED STATES","6387 FABRY DRIVE",,"AK","99901",,"KETCHIKAN","UNITED STATES","PO BOX 9026",,"AK","99901",
"DENALI DRILLING, INC.",3583,"DENALI DRILLING, INC.","Active",12/29/1997,12/12/2025,12/31/2027,"No","Anchorage","UNITED STATES","8240 Petersburg Street",,"AK","99507","3131","ANCHORAGE","UNITED STATES","8240 PETERSBURG ST",,"AK","99507","3131"
"THE VALLEY HOSPITAL ASSOCIATION, INC.",3641,"THE VALLEY HOSPITAL ASSOCIATION, INC.","Active",1/11/1990,12/23/2024,12/31/2026,"No","WASILLA","UNITED STATES","777 N CRUSEY ST, STE A201",,"AK","99654",,"WASILLA","UNITED STATES","777 N CRUSEY ST, STE A201",,"AK","99654",
"VALDEZ LODGE #2537, BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE UNITED STATES OF AMERICA",3644,"VALDEZ ELKS LODGE #2537","Active",,12/31/2024,12/31/2026,"No","VALDEZ","UNITED STATES","339 Fairbanks","9078352537","AK","99686","8537","VALDEZ","UNITED STATES","PO BOX 1607",,"AK","99686",
"ALASKA GARDEN AND PET SUPPLY, INC.",3765,"ALASKA GARDEN AND PET SUPPLY, INC","Active",12/15/1998,12/4/2025,12/31/2026,"No","ANCHORAGE","UNITED STATES","114 NORTH ORCA ST",,"AK","99501",,"ANCHORAGE","UNITED STATES","114 NORTH ORCA ST",,"AK","99501",
"WHITE'S, INC.",3794,"WHITE'S PHARMACY","Active",,10/27/2025,12/31/2027,"No","SITKA","UNITED STATES","705 HALIBUT POINT ROAD",,"AK","99835",,"SITKA","UNITED STATES","117 GRANITE CREEK RD, STE 201 (BUSINESS OFFICE)",,"AK","99835",
"ANN FIENUP-RIORDAN",3899,"ANN FIENUP-RIORDAN","Active",12/7/1990,10/2/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","9951 PROSPECT DRIVE",,"AK","99507",,"ANCHORAGE","UNITED STATES","9951 PROSPECT DRIVE",,"AK","99507",
"ILENE  BAKER",3912,"ILENE M BAKER","Active",,4/23/2026,12/31/2026,"No","Chugiak","UNITED STATES","22053 Deer Park Drive","22053 Deer Park Drive","AK","99567",,"CHUGIAK","UNITED STATES","PO BOX 672016",,"AK","99567","2016"
"SKAGWAY LODGE NO. 431, BENEVOLENT AND PROTECTIVE ORDER OF ELKS OF THE UNITED STATES OF AMERICA",4085,"SKAGWAY LDGE 431","Active",12/21/1989,10/24/2024,12/31/2026,"No","SKAGWAY","UNITED STATES","502 STATE ST",,"AK","99840",,"SKAGWAY","UNITED STATES","PO BOX 416",,"AK","99840",
"SITKA, ALASKA LODGE NO. 1662, BENEVOLENT AND PROTECTIVE ORDER OF ELKS OF THE U S OF AMERICA",4086,"SITKA LODGE 1662","Active",,10/17/2025,12/31/2027,"No","SITKA","UNITED STATES","412 SAWMILL CREEK ROAD",,"AK","99835","7446","SITKA","UNITED STATES","412 SAWMILL CREEK ROAD",,"AK","99835","7446"
"WRANGELL ELKS LODGE NO. 1595, BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA",4088,"WRANGELL LODGE 1595","Active",,4/4/2025,12/31/2026,"No","WRANGELL","UNITED STATES","103 Front Street",,"AK","99929",,"WRANGELL","UNITED STATES","BOX 377",,"AK","99929",
"ESTES BROTHERS, INC.",4229,"ESTES BROTHERS, INC.","Active",1/7/1991,1/14/2025,12/31/2026,"No","MOOSE PASS","UNITED STATES","MI 29.5 SEWARD HWY",,"AK","99631",,"MOOSE PASS","UNITED STATES","PO BOX 26",,"AK","99631",
"FAIRHILL INC",4315,"FAIRHILL INC","Active",,12/10/2025,12/31/2026,"No","FAIRBANKS","UNITED STATES","100 KNIFFEN RD",,"AK","99712","1607","FAIRBANKS","UNITED STATES","PO BOX 71956",,"AK","99707","1956"
"GRUNDER DEVELOPMENT, INC.",4603,"GRUNDER DEVELOPMENT INC","Active",,10/10/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","3545 Arctic Blvd Ste. B1",,"AK","99503","2523","ANCHORAGE","UNITED STATES","PO BOX 242523",,"AK","99524","2523"
"FRATERNAL ORDER OF EAGLES AERIE # 1971",4610,"EAGLES FRATERNAL ORDER #1971","Active",,3/12/2025,12/31/2026,"No","VALDEZ","UNITED STATES","121 HAZELET AVE.",,"AK","99686",,"VALDEZ","UNITED STATES","PO BOX 324",,"AK","99686",
"THE FOREMAN'S, INC. ",4636,"THE FOREMAN'S, INC.","Active",12/10/1991,12/16/2025,12/31/2026,"No","Anchorage","UNITED STATES","3906 Turnagain Blvd. East",,"AK","99517","2416","ANCHORAGE","UNITED STATES","PO BOX 91576",,"AK","99509","1576"
"CORDOVA OUTBOARD INC",4763,"CORDOVA OUTBOARD INC","Active",,10/16/2024,12/31/2026,"No","Cordova","UNITED STATES","211 Breakwater Ave.",,"AK","99574","0960","CORDOVA","UNITED STATES","PO BOX 960",,"AK","99574","0960"
"SLANA SURVEYS, INC.",4947,"SLANA SURVEYS, INC","Active",,12/29/2025,12/31/2026,"No","ANCHORAGE","UNITED STATES","1200 E. 76TH AVE. UNIT 1226",,"AK","99518",,"ANCHORAGE","UNITED STATES","1200 E. 76TH AVE. UNIT 1226",,"AK","99518",
"GLASS, SASH & DOOR SUPPLY INC",5135,"GLASS, SASH & DOOR SUPPLY INC","Active",,9/22/2025,12/31/2026,"No","Anchorage","UNITED STATES","500 E. Ship Creek Ave","9072761655","AK","99501",,"ANCHORAGE","UNITED STATES","500 E SHIP CREEK AVENUE",,"AK","99501",
"LONNY  ELLIOTT",5143,"REDBEARD SERVICES","Active",,11/6/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","6415 E 32 Avenue","9072448600","AK","99504",,"ANCHORAGE","UNITED STATES","6415 E 32 Avenue",,"AK","99504",
"V F GRACE, INC.",5266,"V F GRACE, INC","Active",,11/19/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","605 E 13TH AVENUE",,"AK","99501",,"ANCHORAGE","UNITED STATES","605 E 13TH AVENUE",,"AK","99501",
"DAVID GREEN AND SONS, INC.",5341,"DAVID GREEN AND SONS, INC","Active",,10/10/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","130 WEST 4TH AVE.",,"AK","99501",,"ANCHORAGE","UNITED STATES","130 WEST 4TH AVE.",,"AK","99501",
"KIM PATOTZKA",5398,"PATOTZKA EQUIPMENT RENTAL AND LEASING","Active",,3/20/2025,12/31/2026,"No","CRAIG","UNITED STATES","704 BEACH ROAD",,"AK","99921",,"CRAIG","UNITED STATES","PO BOX 827",,"AK","99921",
"AMRIT  KHALSA",5443,"LAW OFFICE OF AMRIT K KHALSA","Active",,10/19/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","12445 ALPINE DR",,"AK","99516","3174","ANCHORAGE","UNITED STATES","12445 ALPINE DR",,"AK","99516","3174"
"GROSS ALASKA, INC.",5446,"GROSS ALASKA, INC","Active",,11/19/2024,12/31/2026,"No","JUNEAU","UNITED STATES","222 FRONT STREET",,"AK","99801",,"JUNEAU","UNITED STATES","222 FRONT STREET",,"AK","99801",
"ANCHORAGE ROOFING AND CONTRACTING INC.",5509,"ANCHORAGE ROOFING AND CONTRACTING INC.","Active",1/8/1991,10/6/2025,12/31/2026,"No","ANCHORAGE","UNITED STATES","10961 LAKE OTIS PKWY",,"AK","99516",,"ANCHORAGE","UNITED STATES","P O BOX 110217",,"AK","99511",
"HAF & HAF, INC.",5541,"HAF & HAF, INC.","Active",11/17/1999,11/4/2025,12/31/2026,"No","ANCHORAGE","UNITED STATES","430 W 7TH AVE STE 130",,"AK","99501","3550","ANCHORAGE","UNITED STATES","430 W 7TH AVE STE 130","PMB 810","AK","99501","3550"
"HAMMER & WIKAN INCORPORATED",5671,"HAMMER & WIKAN INCORPORATED","Active",12/28/1990,10/7/2024,12/31/2026,"No","PETERSBURG","UNITED STATES","1300 HOWKAN","218 N NORDIC DR","AK","99833",,"PETERSBURG","UNITED STATES","PO BOX 249",,"AK","99833",
